Panel,Protein,Uniprot,OlinkRef,Diagnosis,Inter subject,Biotemporal
CARDIOVASCULAR III,IGFBP.1,P08833,OID00604,13.84164863564666,57.39750414931609,28.760847215037256
CARDIOVASCULAR III,IGFBP.2,P18065,OID00650,0,83.42316366027157,16.57683633972843
CARDIOVASCULAR III,IGFBP.7,Q16270,OID00638,0,68.31324866235717,31.68675133764283
CARDIOVASCULAR III,IL.17RA,Q96F46,OID00566,0,85.2473345475494,14.752665452450588
CARDIOVASCULAR III,IL.18BP,O95998,OID00640,0,80.26954140313164,19.730458596868356
CARDIOVASCULAR III,IL.1RT1,P14778,OID00613,3.559151011627614,62.45963266534034,33.981216323032044
CARDIOVASCULAR III,IL.1RT2,P27930,OID00627,0,66.37342341953999,33.62657658046001
CARDIOVASCULAR III,IL.6RA,P08887,OID00602,0,81.9715914251748,18.028408574825207
CARDIOVASCULAR III,IL2.RA,P01589,OID00570,0,73.62513783184433,26.37486216815567
CARDIOVASCULAR III,ITGB2,P05107,OID00565,13.26332405471583,58.38180186953889,28.354874075745276
CARDIOVASCULAR III,JAM.A,Q9Y624,OID00625,3.1304562334006794,43.08613082760665,53.78341293899267
CARDIOVASCULAR III,KLK6,Q92876,OID00647,0,60.7662687298245,39.2337312701755
CARDIOVASCULAR III,LDL.receptor,P01130,OID00564,0.9127047950944966,66.26190894666405,32.82538625824145
CARDIOVASCULAR III,LTBR,P36941,OID00583,0,75.85223022567682,24.147769774323184
CARDIOVASCULAR III,MB,P02144,OID00616,0,61.79493612764748,38.20506387235252
CARDIOVASCULAR III,MCP.1,P13500,OID00576,0,61.83492397776836,38.16507602223164
CARDIOVASCULAR III,MEPE,Q9NQ76,OID00132,0,74.57710687944842,25.422893120551567
CARDIOVASCULAR III,MMP.2,P08253,OID00614,0,68.23451349709234,31.765486502907663
CARDIOVASCULAR III,MMP.3,P08254,OID00644,0,81.06173150275096,18.938268497249055
CARDIOVASCULAR III,MMP.9,P14780,OID00568,3.207246723834556,27.494116167670228,69.29863710849523
CARDIOVASCULAR III,MPO,P05164,OID00600,0,60.48384291595392,39.51615708404608
CARDIOVASCULAR III,Notch.3,Q9UM47,OID00584,1.8798298994889553,68.00422987916153,30.11594022134951
CARDIOVASCULAR III,NT.proBNP,"NA",OID00131,0,81.61527828119475,18.384721718805245
CARDIOVASCULAR III,OPG,O00300,OID00571,4.901954024064355,77.61526687887317,17.48277909706246
CARDIOVASCULAR III,OPN,P10451,OID00621,0,69.45533348926593,30.544666510734064
CARDIOVASCULAR III,PAI,P05121,OID00591,0,58.3689961134002,41.63100388659981
CARDIOVASCULAR III,PCSK9,Q8NBP7,OID00619,0,60.11348545396941,39.8865145460306
CARDIOVASCULAR III,PDGF.subunit.A,P04085,OID00648,0,56.39315384722297,43.60684615277703
CARDIOVASCULAR III,PECAM.1,P16284,OID00652,9.089558158875395,41.06466281283197,49.84577902829263
CARDIOVASCULAR III,PGLYRP1,O75594,OID00623,1.326788107350813,79.05749442607022,19.615717466578964
CARDIOVASCULAR III,PI3,P19957,OID00609,0,81.39641380291074,18.603586197089264
CARDIOVASCULAR III,PLC,P98160,OID00582,0,78.8931511664821,21.106848833517894
CARDIOVASCULAR III,PON3,Q15166,OID00642,0,92.53457352163807,7.465426478361931
CARDIOVASCULAR III,PRTN3,P24158,OID00618,0,64.74163953486155,35.25836046513845
CARDIOVASCULAR III,PSP.D,P35247,OID00608,0,89.72861559348193,10.27138440651806
CARDIOVASCULAR III,RARRES2,Q99969,OID00645,5.701518674863218,49.48234293466851,44.81613839046828
CARDIOVASCULAR III,RETN,Q9HD89,OID00603,1.067142599854411,86.01008045248382,12.922776947661763
CARDIOVASCULAR III,SCGB3A2,Q96PL1,OID00636,3.889837418977165,82.38690746987155,13.723255111151284
CARDIOVASCULAR III,SELE,P16581,OID00596,0,82.69544917351138,17.304550826488633
CARDIOVASCULAR III,SELP,P16109,OID00574,0,47.28047581239934,52.719524187600676
CARDIOVASCULAR III,SHPS.1,P78324,OID00628,2.693363610917067,76.08350485523435,21.223131533848594
CARDIOVASCULAR III,SPON1,Q9HCB6,OID00599,0.45775691696482296,65.2136894917889,34.32855359124628
CARDIOVASCULAR III,ST2,Q01638,OID00634,8.761582172985442,69.55704734264752,21.681370484367033
CARDIOVASCULAR III,t.PA,P00750,OID00635,8.710364657363648,31.81051098270096,59.47912435993539
CARDIOVASCULAR III,TFF3,Q07654,OID00573,7.355079947693648,67.98613008999125,24.658789962315115
CARDIOVASCULAR III,TFPI,P10646,OID00590,0,55.14450710683451,44.85549289316548
CARDIOVASCULAR III,TIMP4,Q99727,OID00585,0,77.59545216300243,22.404547836997565
CARDIOVASCULAR III,TLT.2,Q5T2D2,OID00588,0,57.6568901781279,42.3431098218721
CARDIOVASCULAR III,TNF.R1,P19438,OID00649,1.4599851051548611,81.75823821474263,16.7817766801025
CARDIOVASCULAR III,TNF.R2,P20333,OID00567,0,83.34972630073837,16.650273699261636
CARDIOVASCULAR III,TNFRSF10C,O14798,OID00594,0,88.63053356892873,11.369466431071272
CARDIOVASCULAR III,TNFRSF14,Q92956,OID00563,0,73.2677143527001,26.7322856472999
