Panel,Protein,Uniprot,OlinkRef,Diagnosis,Inter subject,Biotemporal
CARDIOVASCULAR III,BLM.hydrolase,Q13867,OID00581,4.98330655680053,45.97209086192101,49.044602581278454
CARDIOVASCULAR III,CASP.3,P42574,OID00630,0,35.48435900496555,64.51564099503445
CARDIOVASCULAR III,CCL15,Q16663,OID00629,11.731462093841076,73.69183896422906,14.576698941929864
CARDIOVASCULAR III,CCL16,O15467,OID00654,6.559228378283333,76.66352417817112,16.77724744354555
CARDIOVASCULAR III,CCL24,O00175,OID00592,8.224007889085254,83.59912196766132,8.176870143253428
CARDIOVASCULAR III,CD163,Q86VB7,OID00577,0,74.36989020416232,25.630109795837694
CARDIOVASCULAR III,CD93,Q9NPY3,OID00639,0,71.3836206487688,28.6163793512312
CARDIOVASCULAR III,CDH5,P33151,OID00587,0,62.91869856349962,37.08130143650038
CARDIOVASCULAR III,CHI3L1,P36222,OID00633,5.631435044999389,73.14298367545254,21.22558127954808
CARDIOVASCULAR III,CHIT1,Q13231,OID00605,0,94.93140124312416,5.068598756875859
CARDIOVASCULAR III,CNTN1,Q12860,OID00586,0,62.61814484542787,37.38185515457213
CARDIOVASCULAR III,COL1A1,P02452,OID00641,0,56.756587972798705,43.2434120272013
CARDIOVASCULAR III,CPA1,P15085,OID00624,0,71.73510740902563,28.264892590974362
CARDIOVASCULAR III,CPB1,P15086,OID00632,1.5909182518436125,73.63317211450608,24.77590963365031
CARDIOVASCULAR III,CSTB,P04080,OID00575,0,71.76583617525486,28.234163824745135
CARDIOVASCULAR III,CTSD,P07339,OID00622,0,77.32813109919098,22.671868900809013
CARDIOVASCULAR III,CTSZ,Q9UBR2,OID00643,0,70.47609257512534,29.52390742487467
CARDIOVASCULAR III,CXCL16,Q9H2A7,OID00601,2.534127292247969,63.89429766276608,33.571575044985956
CARDIOVASCULAR III,DLK.1,P80370,OID00598,0,79.481991197905,20.518008802095007
CARDIOVASCULAR III,EGFR,P00533,OID00637,3.717552988508145,37.30109383285846,58.98135317863339
CARDIOVASCULAR III,Ep.CAM,P16422,OID00610,0,81.71075451411643,18.289245485883583
CARDIOVASCULAR III,EPHB4,P54760,OID00569,0,80.29061543074295,19.709384569257058
CARDIOVASCULAR III,FABP4,P15090,OID00589,0,72.59015310858408,27.40984689141592
CARDIOVASCULAR III,FAS,P25445,OID00615,1.0900551881590568,69.32508666970912,29.58485814213183
CARDIOVASCULAR III,Gal.3,P17931,OID00578,0,70.41459303074167,29.585406969258326
CARDIOVASCULAR III,Gal.4,P56470,OID00626,0,68.71105759204556,31.28894240795444
CARDIOVASCULAR III,GDF.15,Q99988,OID00595,3.2132272632314667,74.98704011850732,21.799732618261206
CARDIOVASCULAR III,GP6,Q9HCN6,OID05026,0,29.5607112811334,70.43928871886659
CARDIOVASCULAR III,GRN,P28799,OID00579,0,71.0230740268888,28.976925973111193
CARDIOVASCULAR III,ICAM.2,P13598,OID00646,0,74.08806658530433,25.911933414695667
CARDIOVASCULAR III,IGFBP.1,P08833,OID00604,13.841648635646424,57.39750414931569,28.76084721503789
CARDIOVASCULAR III,IGFBP.2,P18065,OID00650,0,83.42316366027464,16.57683633972536
CARDIOVASCULAR III,IGFBP.7,Q16270,OID00638,0,68.31324866231402,31.68675133768596
CARDIOVASCULAR III,IL.17RA,Q96F46,OID00566,0,85.24733454755537,14.752665452444646
CARDIOVASCULAR III,IL.18BP,O95998,OID00640,0,80.26954140315883,19.73045859684117
CARDIOVASCULAR III,IL.1RT1,P14778,OID00613,3.559151011627132,62.459632665319774,33.98121632305308
CARDIOVASCULAR III,IL.1RT2,P27930,OID00627,0,66.37342341954563,33.62657658045439
CARDIOVASCULAR III,IL.6RA,P08887,OID00602,0,81.9715914251746,18.02840857482539
CARDIOVASCULAR III,IL2.RA,P01589,OID00570,0,73.62513783183955,26.374862168160448
CARDIOVASCULAR III,ITGB2,P05107,OID00565,13.263324054715895,58.38180186954243,28.35487407574168
